model,sample_id,first_recorded_mismatch,final_match
gemini3f,S063,none,True
gemini3f,S064,none,True
gemini3f,S065,none,True
gemini3f,S066,none,True
gemini3f,S068,none,True
gemini3f,S069,art5,False
gemini3f,S070,annex_iii,True
gemini3f,S071,none,True
gemini3f,S072,art5,False
gemini3f,S073,none,True
gemini3f,S074,none,True
gemini3f,S075,none,True
gemini3f,S076,none,True
gemini3f,S077,none,True
gemini3f,S078,none,True
gemini3f,S079,none,True
gemini3f,S080,none,True
gemini3f,S081,none,True
gemini3f,S082,none,True
gemini3f,S083,none,True
gemini3f,S084,none,True
gemini3f,S085,none,True
gemini3f,S086,none,True
gemini3f,S087,none,True
gemini3f,S088,none,True
gemini3f,S089,none,True
gemini3f,S090,annex_iii,True
gemini3f,S091,none,True
gemini3f,S092,art5,True
gemini3f,S093,art5,False
gemini3f,S094,none,True
gemini3f,S095,art5,False
gemini3f,S096,none,True
gemini3f,S097,none,True
gemini3f,S098,none,True
gemini3f,S099,none,True
gemini3f,S100,annex_iii,False
gemini3f,S101,none,True
gemini3f,S102,none,True
gemini3f,S103,none,True
gemini3f,S104,none,True
gemini3f,S105,none,True
gemini3f,S106,art5,False
gemini3f,S107,none,True
gemini3f,S108,none,True
gemini3f,S109,none,True
gemini3f,S110,annex_i,True
gemini3f,S111,none,True
gemini3f,S112,none,True
gemini3f,S113,none,True
gemini3f,S114,none,True
gemini3f,S115,none,True
gemini3f,S116,none,True
gemini3f,S117,none,True
gemini3f,S118,none,True
gemini3f,S119,none,True
gemini3f,S120,annex_iii,False
gemini3f,S121,none,True
gemini3f,S122,none,True
gemini3f,S123,art5,False
gemini3f,S124,none,True
gemini3f,S125,none,True
gemini3f,S126,none,True
gemini3f,S127,art5,False
gemini3f,S128,none,True
gemini3f,S129,none,True
gemini3f,S130,none,True
gemini3f,S131,art5,False
gemini3f,S132,none,True
gemini3f,S133,none,True
gemini3f,S134,none,True
gemini3f,S135,none,True
gemini3f,S136,none,True
gemini3f,S137,none,True
gemini3f,S138,annex_iii,True
gemini3f,S139,annex_iii,True
gemini3f,S140,annex_i,False
gemini3f,S141,none,True
gemini3f,S142,annex_iii,True
gemini3f,S143,art5,False
gemini3f,S144,annex_iii,False
gemini3f,S145,none,True
gemini3f,S146,annex_iii,True
gemini3f,S147,none,True
gemini3f,S148,none,True
gemini3f,S149,none,True
gemini3f,S150,none,True
gemma27b,S001,none,True
gemma27b,S002,profiling,True
gemma27b,S003,none,True
gemma27b,S004,art5,False
gemma27b,S005,annex_i,True
gemma27b,S006,none,True
gemma27b,S007,annex_i,True
gemma27b,S008,annex_iii,True
gemma27b,S009,none,True
gemma27b,S010,art5,False
gemma27b,S011,annex_i,True
gemma27b,S012,annex_i,True
gemma27b,S013,annex_i,True
gemma27b,S014,none,False
gemma27b,S015,art5,False
gemma27b,S016,none,True
gemma27b,S017,annex_i,True
gemma27b,S018,none,True
gemma27b,S020,annex_i,True
gemma27b,S021,annex_i,True
gemma27b,S022,annex_i,True
gemma27b,S023,annex_iii,True
gemma27b,S024,annex_iii,False
gemma27b,S025,art5,False
gemma27b,S027,annex_i,True
gemma27b,S029,annex_i,False
gemma27b,S030,none,True
gemma27b,S031,annex_i,True
gemma27b,S032,art5,True
gemma27b,S033,annex_i,True
gemma27b,S034,none,True
gemma27b,S035,art5,True
gemma27b,S036,annex_i,True
gemma27b,S037,none,True
gemma27b,S038,annex_i,False
gemma27b,S039,annex_i,True
gemma27b,S040,annex_i,False
gemma27b,S042,none,True
gemma27b,S043,annex_i,True
gemma27b,S044,none,True
gemma27b,S045,none,True
gemma27b,S046,profiling,True
gemma27b,S047,annex_i,True
gemma27b,S048,none,True
gemma27b,S049,annex_i,True
gemma27b,S050,none,True
gemma27b,S051,none,True
gemma27b,S052,none,True
gemma27b,S053,art5,True
gemma27b,S054,none,True
gemma27b,S055,none,True
gemma27b,S056,profiling,True
gemma27b,S057,profiling,True
gemma27b,S058,annex_i,False
gemma27b,S060,annex_i,True
gemma27b,S061,annex_i,True
gemma27b,S062,none,True
gemma27b,S063,none,True
gemma27b,S064,none,True
gemma27b,S065,annex_iii,False
gemma27b,S066,derogation,True
gemma27b,S068,art5,False
gemma27b,S069,art5,False
gemma27b,S070,none,True
gemma27b,S071,profiling,True
gemma27b,S072,art5,False
gemma27b,S073,none,True
gemma27b,S074,art5,False
gemma27b,S075,art5,True
gemma27b,S076,art5,False
gemma27b,S077,art5,False
gemma27b,S078,annex_i,True
gemma27b,S079,art5,True
gemma27b,S080,profiling,True
gemma27b,S081,annex_i,True
gemma27b,S082,none,True
gemma27b,S083,art5,False
gemma27b,S084,art5,True
gemma27b,S085,art5,True
gemma27b,S086,art5,True
gemma27b,S087,none,True
gemma27b,S088,art5,True
gemma27b,S089,art5,False
gemma27b,S090,none,True
gemma27b,S091,art5,False
gemma27b,S092,profiling,True
gemma27b,S093,none,True
gemma27b,S094,art5,False
gemma27b,S095,art5,False
gemma27b,S096,art5,False
gemma27b,S097,art5,True
gemma27b,S098,none,True
gemma27b,S099,annex_iii,False
gemma27b,S100,annex_iii,False
gemma27b,S101,art5,False
gemma27b,S102,none,True
gemma27b,S103,profiling,True
gemma27b,S104,none,True
gemma27b,S105,art5,False
gemma27b,S106,art5,False
gemma27b,S107,annex_iii,False
gemma27b,S108,none,True
gemma27b,S109,annex_i,True
gemma27b,S110,annex_iii,False
gemma27b,S111,art5,False
gemma27b,S112,annex_i,False
gemma27b,S113,annex_iii,False
gemma27b,S114,none,True
gemma27b,S115,annex_i,True
gemma27b,S116,none,True
gemma27b,S117,art5,True
gemma27b,S118,art5,True
gemma27b,S119,annex_iii,False
gemma27b,S120,derogation,False
gemma27b,S121,none,True
gemma27b,S122,none,True
gemma27b,S123,art5,False
gemma27b,S124,none,True
gemma27b,S125,none,True
gemma27b,S126,art5,False
gemma27b,S127,art5,False
gemma27b,S128,none,True
gemma27b,S129,art5,True
gemma27b,S130,annex_i,False
gemma27b,S131,art5,False
gemma27b,S132,art5,False
gemma27b,S133,none,True
gemma27b,S134,art5,False
gemma27b,S135,none,True
gemma27b,S136,art5,False
gemma27b,S137,none,True
gemma27b,S138,none,True
gemma27b,S139,art5,False
gemma27b,S140,art5,False
gemma27b,S141,art5,False
gemma27b,S142,none,True
gemma27b,S143,annex_iii,True
gemma27b,S144,annex_i,False
gemma27b,S145,none,True
gemma27b,S146,none,True
gemma27b,S147,none,True
gemma27b,S148,art5,True
gemma27b,S149,art5,False
gemma27b,S150,profiling,True
gpt52,S001,none,True
gpt52,S002,none,True
gpt52,S003,none,True
gpt52,S004,none,True
gpt52,S005,none,True
gpt52,S006,none,True
gpt52,S007,annex_iii,True
gpt52,S008,none,True
gpt52,S009,annex_iii,True
gpt52,S010,none,True
gpt52,S011,art5,False
gpt52,S012,none,True
gpt52,S013,none,True
gpt52,S014,art5,True
gpt52,S015,art50,False
gpt52,S016,annex_iii,True
gpt52,S017,none,True
gpt52,S018,none,True
gpt52,S020,none,True
gpt52,S021,none,True
gpt52,S022,annex_iii,True
gpt52,S023,none,True
gpt52,S024,annex_iii,False
gpt52,S025,art5,False
gpt52,S027,none,True
gpt52,S029,none,True
gpt52,S030,none,True
gpt52,S031,none,True
gpt52,S032,none,True
gpt52,S033,art5,True
gpt52,S034,none,True
gpt52,S035,none,True
gpt52,S036,none,True
gpt52,S037,none,True
gpt52,S038,none,True
gpt52,S039,profiling,True
gpt52,S040,none,True
gpt52,S042,annex_iii,True
gpt52,S043,art50,True
gpt52,S044,none,True
gpt52,S045,none,True
gpt52,S046,profiling,True
gpt52,S047,annex_iii,True
gpt52,S048,none,True
gpt52,S049,derogation,False
gpt52,S050,none,True
gpt52,S051,none,True
gpt52,S052,none,True
gpt52,S053,art5,True
gpt52,S054,none,True
gpt52,S055,none,True
gpt52,S056,art5,True
gpt52,S057,none,True
gpt52,S058,none,True
gpt52,S060,art50,True
gpt52,S061,profiling,True
gpt52,S062,annex_iii,True
gpt52,S063,none,True
gpt52,S064,none,True
gpt52,S065,none,True
gpt52,S066,none,True
gpt52,S068,annex_iii,False
gpt52,S069,art5,False
gpt52,S070,none,True
gpt52,S071,none,True
gpt52,S072,art5,False
gpt52,S073,none,True
gpt52,S074,art5,False
gpt52,S075,none,True
gpt52,S076,none,True
gpt52,S077,none,True
gpt52,S078,art5,True
gpt52,S079,none,True
gpt52,S080,none,True
gpt52,S081,annex_iii,True
gpt52,S082,none,True
gpt52,S083,art5,True
gpt52,S084,art5,False
gpt52,S085,art5,True
gpt52,S086,art5,True
gpt52,S087,art5,False
gpt52,S088,art5,False
gpt52,S089,none,True
gpt52,S090,none,True
gpt52,S091,art5,False
gpt52,S092,art5,True
gpt52,S093,art5,False
gpt52,S094,none,True
gpt52,S095,art5,False
gpt52,S096,art5,False
gpt52,S097,none,True
gpt52,S098,none,True
gpt52,S099,none,True
