model,condition,label,support,predicted,tp,precision,recall,f1
sonnet5,naive,high,35,38,31,0.8157894736842105,0.8857142857142857,0.8493150684931506
sonnet5,naive,prohibited,9,36,6,0.16666666666666666,0.6666666666666666,0.26666666666666666
sonnet5,naive,not_ai_system,1,2,0,0.0,0.0,0.0
sonnet5,naive,insufficient_information,2,3,2,0.6666666666666666,1.0,0.8
sonnet5,decomposed,minimal,7,11,6,0.5454545454545454,0.8571428571428571,0.6666666666666666
sonnet5,decomposed,transparency,76,68,62,0.9117647058823529,0.8157894736842105,0.8611111111111112
sonnet5,decomposed,high,35,31,29,0.9354838709677419,0.8285714285714286,0.8787878787878788
sonnet5,decomposed,prohibited,9,19,5,0.2631578947368421,0.5555555555555556,0.35714285714285715
sonnet5,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
sonnet5,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
